0|Gluteeni
1|Maitotuotteet
2|Laktoosi
3|Kananmuna
4|Soija
5|Seesami
6|Sinappi
7|Selleri
8|Kala
9|Äyriäiset
10|Pähkinät
11|Maapähkinät
12|Nilviäiset
13|Lupiini
14|Sulfiitit
